Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,First Name,Last Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
27,CA-2023-323056,2021-07-03,2021-07-13,First Class,C-7571,Brittany,Tucker,Consumer,United States,South Tiffanyfurt,Wyoming,30950,Central,P-25451,Office Supplies,Storage,Storage - Receive,144.78,8,0.2,39.98
28,CA-2021-695040,2024-10-13,2024-10-17,Same Day,C-7204,Cesar,Ayala,Home Office,United States,West Melanie,Pennsylvania,39849,West,P-66514,Technology,Accessories,Accessories - Professional,220.13,10,0.1,3.19
29,CA-2018-517829,2024-02-23,2024-02-25,Second Class,C-3647,Deborah,Ward,Consumer,United States,East Kathleenport,New Mexico,72885,East,P-82699,Office Supplies,Art,Art - Address,1046.61,10,0.4,288.18
30,CA-2022-639794,2024-02-17,2024-02-23,Same Day,C-2915,Matthew,Clark,Consumer,United States,New Ryanchester,Maryland,54626,Central,P-65049,Furniture,Chairs,Chairs - Should,636.2,9,0.1,174.34
31,CA-2017-174143,2023-02-07,2023-02-13,Same Day,C-2989,Veronica,Macdonald,Corporate,United States,Banksmouth,South Dakota,41557,South,P-17843,Furniture,Bookcases,Bookcases - Word,629.76,8,0.0,67.55
32,CA-2021-746255,2022-05-05,2022-05-11,First Class,C-4636,Paula,Clarke,Consumer,United States,Steventon,Maryland,28062,Central,P-24375,Technology,Phones,Phones - Color,1667.17,6,0.3,-208.97
33,CA-2018-322589,2023-12-09,2023-12-19,First Class,C-8426,Nicole,Kennedy,Home Office,United States,East Robin,Maryland,42518,East,P-87429,Furniture,Chairs,Chairs - Home,557.29,4,0.4,146.3
34,CA-2019-810664,2022-02-12,2022-02-16,Standard Class,C-7678,Travis,Maldonado,Home Office,United States,New Carrieview,Vermont,97270,East,P-77878,Technology,Phones,Phones - Central,910.99,8,0.4,74.56
35,CA-2019-157248,2020-09-29,2020-10-06,Same Day,C-3303,William,Castro,Consumer,United States,Katherinehaven,Texas,29018,South,P-10014,Office Supplies,Paper,Paper - Up,1864.38,9,0.0,-206.64
36,CA-2015-133511,2021-07-15,2021-07-25,Standard Class,C-2337,Gabrielle,Nielsen,Consumer,United States,North Todd,Maine,52142,East,P-96391,Office Supplies,Storage,Storage - Continue,151.43,6,0.0,-8.18
37,CA-2016-468897,2021-06-03,2021-06-06,Second Class,C-8890,Amber,Aguilar,Consumer,United States,Lake Kurtmouth,Nebraska,94905,West,P-74380,Technology,Accessories,Accessories - Cold,1975.62,8,0.1,-258.18
38,CA-2020-497560,2021-09-14,2021-09-20,Same Day,C-5399,David,Williams,Consumer,United States,Thompsonfurt,Tennessee,19346,Central,P-86408,Furniture,Furnishings,Furnishings - Her,362.46,8,0.4,-16.59
39,CA-2016-291723,2020-12-15,2020-12-17,First Class,C-5620,Brian,Garza,Consumer,United States,Port Darrenfurt,West Virginia,80699,South,P-75860,Technology,Machines,Machines - Effort,1655.51,2,0.1,475.83
40,CA-2021-647714,2021-12-16,2021-12-18,Same Day,C-8560,Matthew,Marsh,Consumer,United States,Ashleyburgh,Massachusetts,54061,Central,P-17114,Office Supplies,Art,Art - Model,1662.37,5,0.4,458.88
41,CA-2023-184698,2021-10-11,2021-10-20,Second Class,C-1552,Rachel,Moses,Home Office,United States,South Steven,Minnesota,60622,West,P-51034,Technology,Accessories,Accessories - Staff,1844.75,6,0.4,459.16
42,CA-2017-374983,2022-03-24,2022-04-01,Same Day,C-9045,Dylan,Bates,Consumer,United States,Jessetown,Nebraska,47659,South,P-45464,Technology,Machines,Machines - Clear,1239.7,1,0.4,110.89
43,CA-2021-727489,2020-12-06,2020-12-13,Second Class,C-3258,Michael,Campbell,Home Office,United States,Margaretmouth,Pennsylvania,39345,South,P-42083,Office Supplies,Paper,Paper - Lose,1414.68,7,0.4,-78.41
44,CA-2015-446297,2022-08-08,2022-08-09,Same Day,C-8129,Dana,Maddox,Home Office,United States,Thompsonton,Ohio,47761,West,P-78948,Office Supplies,Appliances,Appliances - Establish,873.86,9,0.4,67.7
45,CA-2023-805576,2024-08-01,2024-08-09,Standard Class,C-2179,Michael,Hill,Consumer,United States,Port Aprilmouth,North Carolina,84401,South,P-47310,Office Supplies,Storage,Storage - Once,831.02,10,0.2,-32.94
46,CA-2021-134550,2024-08-08,2024-08-11,Standard Class,C-3888,Kristen,Davis,Corporate,United States,New Alejandro,Georgia,25012,East,P-29038,Furniture,Tables,Tables - Name,386.25,1,0.2,57.08
47,CA-2021-283983,2024-06-08,2024-06-13,First Class,C-9991,Tyler,Ward,Consumer,United States,South Jackson,Delaware,13181,West,P-86102,Technology,Accessories,Accessories - Official,1981.34,1,0.4,325.68
48,CA-2017-142009,2023-08-05,2023-08-15,Second Class,C-5520,Brandi,Sanders,Corporate,United States,Jasonchester,South Carolina,43700,South,P-82072,Technology,Copiers,Copiers - Far,135.45,10,0.1,27.23
49,CA-2015-109394,2020-09-21,2020-10-01,Same Day,C-2800,Clayton,Peterson,Consumer,United States,Port Victoria,Maryland,89457,West,P-93737,Furniture,Tables,Tables - Act,262.73,10,0.2,54.4
50,CA-2022-446893,2023-10-04,2023-10-09,First Class,C-7515,Matthew,Barnes,Consumer,United States,Port James,Washington,01887,East,P-83826,Office Supplies,Art,Art - Break,1790.89,3,0.3,50.82
51,CA-2016-945339,2025-06-29,2025-07-03,First Class,C-2139,John,Avery,Home Office,United States,West Shawnport,Kentucky,02295,Central,P-14188,Office Supplies,Paper,Paper - Finally,882.33,9,0.2,0.71
52,CA-2018-284731,2022-09-15,2022-09-25,Same Day,C-4536,Edward,Buck,Consumer,United States,North Cynthia,Missouri,65458,South,P-35469,Office Supplies,Appliances,Appliances - Record,559.51,5,0.4,-77.63
53,CA-2015-979144,2021-11-18,2021-11-23,Second Class,C-3153,Joseph,Murray,Consumer,United States,East Richardburgh,California,65448,West,P-49761,Office Supplies,Appliances,Appliances - Address,47.89,5,0.0,3.77
54,CA-2023-390809,2022-09-03,2022-09-11,First Class,C-7391,David,Rivera,Consumer,United States,Jasontown,New Jersey,15836,Central,P-99196,Office Supplies,Storage,Storage - Ago,1798.78,8,0.1,214.82
55,CA-2017-421311,2025-09-10,2025-09-17,Same Day,C-2249,Michael,Pearson,Consumer,United States,Port Jason,Mississippi,33895,South,P-69738,Office Supplies,Storage,Storage - Wrong,66.49,3,0.3,10.24
56,CA-2019-381858,2021-10-25,2021-11-04,Second Class,C-4984,Danielle,Mcdaniel,Home Office,United States,Jodiburgh,Texas,28468,East,P-12815,Office Supplies,Binders,Binders - Now,1946.44,8,0.0,194.08
57,CA-2022-158660,2021-11-18,2021-11-23,Same Day,C-5299,Kathryn,Burnett,Corporate,United States,East Bethside,Delaware,23307,West,P-53657,Technology,Machines,Machines - Coach,453.75,4,0.4,-39.41
58,CA-2023-705679,2021-02-22,2021-02-28,First Class,C-3742,Heather,Rodriguez,Corporate,United States,Frostberg,New Jersey,13604,Central,P-66601,Furniture,Tables,Tables - Might,1612.12,3,0.0,35.8
59,CA-2020-720241,2023-08-11,2023-08-21,First Class,C-8490,Mary,Walton,Corporate,United States,Christophermouth,Utah,35693,East,P-69203,Technology,Accessories,Accessories - Statement,1513.82,2,0.3,13.76
60,CA-2018-882788,2024-04-18,2024-04-21,Same Day,C-6711,Olivia,Sanders,Corporate,United States,Lake Shannonmouth,Florida,71565,West,P-12684,Office Supplies,Paper,Paper - Front,701.79,1,0.0,159.33
61,CA-2018-559027,2024-04-21,2024-04-26,First Class,C-1754,Katherine,Tyler,Corporate,United States,North Marymouth,Iowa,65219,West,P-55382,Office Supplies,Appliances,Appliances - Such,1625.18,8,0.4,55.03
62,CA-2017-418004,2021-04-02,2021-04-09,First Class,C-2876,Tiffany,Lynch,Home Office,United States,East Amanda,Hawaii,88819,East,P-55188,Technology,Accessories,Accessories - Animal,96.72,4,0.2,15.85
63,CA-2017-793195,2021-01-27,2021-02-01,Standard Class,C-4415,Monica,Hunter,Home Office,United States,Port Jorgebury,Maine,74649,East,P-38370,Office Supplies,Appliances,Appliances - Prepare,441.91,2,0.4,95.38
64,CA-2022-309228,2024-08-07,2024-08-11,First Class,C-6905,Morgan,Nelson,Consumer,United States,Meganmouth,Rhode Island,58280,South,P-18586,Furniture,Bookcases,Bookcases - Trial,1934.93,6,0.0,468.43
65,CA-2020-661504,2023-05-20,2023-05-27,First Class,C-5089,Briana,Pollard,Consumer,United States,Carrillomouth,Virginia,26930,East,P-21003,Office Supplies,Binders,Binders - Know,1372.04,6,0.2,188.13
66,CA-2019-491770,2021-06-16,2021-06-24,Same Day,C-8325,Allison,Cooper,Consumer,United States,Collinsville,Georgia,39507,East,P-12896,Technology,Phones,Phones - Cup,195.83,7,0.3,53.89
67,CA-2021-884050,2024-03-02,2024-03-05,Standard Class,C-9889,Kaitlin,Doyle,Home Office,United States,Campbellport,Texas,04746,Central,P-83691,Furniture,Furnishings,Furnishings - Soldier,114.68,2,0.1,18.44
68,CA-2021-740377,2022-07-29,2022-07-30,Same Day,C-2417,Karla,Davenport,Corporate,United States,Port Amberstad,South Carolina,56136,West,P-25599,Furniture,Furnishings,Furnishings - Wish,1846.47,2,0.1,383.03
69,CA-2022-307982,2024-09-13,2024-09-16,Second Class,C-4436,Cindy,Sutton,Home Office,United States,West Jennifer,South Dakota,85141,South,P-67483,Technology,Phones,Phones - Single,1931.16,8,0.0,456.71
70,CA-2018-510569,2025-04-19,2025-04-24,Second Class,C-9004,Billy,Chang,Corporate,United States,East Teresa,Nebraska,22943,South,P-58372,Office Supplies,Storage,Storage - Expert,356.48,4,0.0,-13.81
71,CA-2022-545707,2021-10-15,2021-10-25,Second Class,C-7519,Timothy,Williams,Home Office,United States,East Julie,Hawaii,42860,South,P-54965,Office Supplies,Binders,Binders - Lose,1290.56,4,0.1,-116.25
72,CA-2022-807899,2025-03-14,2025-03-16,Second Class,C-1738,Meghan,Kim,Corporate,United States,Dawsonville,Delaware,65326,South,P-98249,Furniture,Tables,Tables - Beyond,1346.94,6,0.2,-82.4
73,CA-2020-542600,2021-05-28,2021-06-02,Same Day,C-1181,Dennis,Marshall,Corporate,United States,Michelleburgh,Texas,36651,Central,P-98472,Technology,Accessories,Accessories - Relationship,578.84,1,0.4,124.76
74,CA-2015-215696,2023-07-25,2023-07-29,Standard Class,C-3399,Joseph,Ball,Home Office,United States,West Traciborough,Colorado,98746,West,P-24931,Furniture,Chairs,Chairs - Job,116.23,2,0.0,5.52
75,CA-2023-947170,2023-08-08,2023-08-15,Second Class,C-9190,Regina,Gonzales,Home Office,United States,Nicholasfort,Delaware,72772,East,P-76067,Office Supplies,Art,Art - Purpose,1625.24,2,0.3,100.77
76,CA-2022-508508,2022-09-18,2022-09-21,First Class,C-9299,Chelsea,Harris,Consumer,United States,Richardburgh,Indiana,78158,East,P-96878,Furniture,Furnishings,Furnishings - As,506.39,10,0.3,135.57
77,CA-2022-420196,2023-02-21,2023-03-01,Same Day,C-1084,David,Torres,Home Office,United States,South Peterburgh,Virginia,80430,East,P-45619,Furniture,Furnishings,Furnishings - Party,1153.88,7,0.0,88.36
78,CA-2023-249786,2022-11-06,2022-11-11,Same Day,C-6772,Sarah,Howell,Home Office,United States,Stephenburgh,Rhode Island,08518,West,P-22805,Furniture,Tables,Tables - Community,26.0,10,0.0,8.69
79,CA-2020-377390,2022-06-10,2022-06-18,Standard Class,C-6439,Rachel,Reynolds,Home Office,United States,Lake Michael,Mississippi,67473,South,P-23606,Furniture,Bookcases,Bookcases - Agency,132.97,4,0.0,-12.56
80,CA-2018-260803,2023-07-28,2023-08-03,First Class,C-3393,David,Daugherty,Consumer,United States,South Nicole,South Carolina,51318,Central,P-72965,Furniture,Furnishings,Furnishings - Especially,209.63,7,0.1,53.55
81,CA-2019-603939,2022-08-03,2022-08-08,Standard Class,C-5655,Chris,Smith,Home Office,United States,New Anne,Virginia,83189,South,P-36915,Technology,Phones,Phones - Decide,41.84,5,0.4,11.97
82,CA-2017-972366,2021-01-11,2021-01-21,Same Day,C-7863,Tyler,Dunn,Corporate,United States,Clarkberg,Illinois,96445,East,P-89837,Furniture,Bookcases,Bookcases - Country,27.43,3,0.2,5.36
83,CA-2019-322110,2021-10-10,2021-10-14,First Class,C-3251,Lisa,Whitney,Home Office,United States,Jefferyville,Georgia,05848,South,P-40076,Office Supplies,Appliances,Appliances - Two,1714.85,2,0.4,63.5
84,CA-2022-960455,2021-09-12,2021-09-18,Second Class,C-7998,Larry,Mendez,Consumer,United States,Port Mackenzieview,Delaware,77934,East,P-97904,Furniture,Bookcases,Bookcases - Choice,969.63,3,0.2,38.96
85,CA-2023-868156,2024-11-24,2024-12-02,Second Class,C-6346,Kylie,Duncan,Corporate,United States,Riversfurt,Virginia,78145,Central,P-59337,Office Supplies,Storage,Storage - Position,1459.22,3,0.2,204.84
86,CA-2015-180790,2022-02-24,2022-03-02,Second Class,C-9964,William,James,Home Office,United States,Reevesberg,Alabama,79495,Central,P-78289,Furniture,Furnishings,Furnishings - Because,1595.9,1,0.4,225.5
87,CA-2016-274047,2023-02-16,2023-02-17,First Class,C-9088,Kevin,Garcia,Corporate,United States,Harmonbury,Montana,85549,South,P-33055,Technology,Phones,Phones - Season,1211.67,7,0.4,307.56
88,CA-2016-702538,2024-11-28,2024-12-02,Standard Class,C-7965,Sarah,Boyd,Home Office,United States,Loganmouth,Nebraska,04773,East,P-93962,Furniture,Tables,Tables - International,1043.93,4,0.0,-61.47
89,CA-2021-616447,2022-07-26,2022-08-03,Second Class,C-7795,Dana,Fleming,Home Office,United States,Port Amyland,Wisconsin,38737,Central,P-53074,Office Supplies,Art,Art - Popular,311.41,3,0.3,-42.42
90,CA-2017-482126,2020-10-18,2020-10-26,Standard Class,C-7875,Lisa,Baker,Corporate,United States,Mitchellmouth,Pennsylvania,35434,West,P-10438,Office Supplies,Appliances,Appliances - Day,672.43,5,0.0,122.23
91,CA-2017-952535,2022-05-23,2022-05-31,Standard Class,C-1109,Daniel,Calderon,Consumer,United States,North Brittany,Alabama,06207,Central,P-20125,Furniture,Tables,Tables - High,1524.98,10,0.3,277.8
92,CA-2022-839337,2025-08-17,2025-08-24,Second Class,C-2538,Billy,Thompson,Corporate,United States,Karenfurt,Georgia,84514,West,P-36692,Office Supplies,Storage,Storage - Opportunity,758.99,8,0.3,209.56
93,CA-2015-789686,2021-03-25,2021-03-28,Same Day,C-2231,Donna,Johnson,Home Office,United States,Lisabury,Delaware,39776,Central,P-51153,Office Supplies,Art,Art - Also,514.87,10,0.2,34.38
94,CA-2022-148922,2021-04-21,2021-04-26,First Class,C-2712,Donna,Pruitt,Corporate,United States,Tracyhaven,Iowa,04081,Central,P-46825,Technology,Phones,Phones - Push,1200.82,1,0.2,-122.29
95,CA-2023-223263,2021-07-29,2021-08-05,Second Class,C-2910,Victor,Herrera,Corporate,United States,Goodwinmouth,Ohio,26728,West,P-55418,Furniture,Furnishings,Furnishings - Follow,1616.38,1,0.3,309.53
96,CA-2016-653063,2022-06-09,2022-06-16,First Class,C-7751,Madison,Brown,Corporate,United States,Ericmouth,Texas,41029,West,P-83412,Office Supplies,Appliances,Appliances - Stop,664.53,7,0.1,171.18
97,CA-2015-135858,2022-11-22,2022-11-26,Same Day,C-2210,Nicole,Henderson,Consumer,United States,Port Jennymouth,Nebraska,38375,Central,P-36017,Furniture,Chairs,Chairs - Manage,1901.12,2,0.2,-272.58
98,CA-2015-825117,2023-10-01,2023-10-08,Standard Class,C-9624,Brian,Davis,Consumer,United States,Esparzatown,Pennsylvania,42941,Central,P-58825,Technology,Copiers,Copiers - End,1810.02,1,0.2,-104.58
99,CA-2015-449797,2024-04-28,2024-04-30,First Class,C-7715,Mike,Davis,Home Office,United States,Wilsonview,Nebraska,32593,Central,P-13340,Furniture,Bookcases,Bookcases - Beat,603.23,10,0.4,-63.05
100,CA-2020-264789,2024-03-16,2024-03-26,Same Day,C-4806,Amy,Vargas,Corporate,United States,New Cameronland,North Carolina,76452,South,P-44777,Office Supplies,Appliances,Appliances - Grow,1527.41,7,0.2,443.65
101,CA-2023-874120,2022-07-06,2022-07-08,First Class,C-4711,David,Gutierrez,Corporate,United States,Nancyville,Indiana,02753,West,P-25542,Furniture,Bookcases,Bookcases - Garden,1730.36,2,0.1,99.26
102,CA-2021-443866,2022-03-08,2022-03-15,First Class,C-6990,Bradley,Lin,Corporate,United States,Port Kiarahaven,Delaware,60710,South,P-35794,Furniture,Tables,Tables - Prepare,751.08,5,0.0,141.54
103,CA-2020-225792,2023-02-03,2023-02-10,First Class,C-2293,Samantha,Morales,Consumer,United States,Ernestshire,Maine,97568,Central,P-77705,Technology,Accessories,Accessories - Six,905.44,8,0.2,52.57
104,CA-2023-628787,2022-04-14,2022-04-18,Same Day,C-2194,Angela,Myers,Corporate,United States,Ryanhaven,Alabama,25833,West,P-32137,Furniture,Bookcases,Bookcases - Positive,10.01,10,0.1,2.82
105,CA-2020-170063,2021-03-22,2021-03-28,Standard Class,C-6147,Mark,Powell,Corporate,United States,Stewartfurt,Florida,91111,Central,P-20285,Technology,Machines,Machines - Management,1144.5,3,0.2,335.27
106,CA-2018-905049,2023-12-15,2023-12-19,First Class,C-9924,Elijah,Salazar,Corporate,United States,Port Keith,Washington,19154,East,P-39135,Furniture,Chairs,Chairs - Watch,1435.95,6,0.2,406.44
107,CA-2021-291104,2022-10-13,2022-10-19,Standard Class,C-6866,Daniel,Hall,Corporate,United States,Garymouth,North Carolina,79013,East,P-60237,Office Supplies,Binders,Binders - Enter,1026.7,9,0.2,-21.07
108,CA-2017-589566,2022-08-23,2022-08-25,Same Day,C-7106,Carolyn,Smith,Corporate,United States,West Briannaview,Kentucky,88301,East,P-54005,Furniture,Furnishings,Furnishings - Best,550.61,7,0.4,-56.58
109,CA-2022-404425,2022-01-25,2022-01-29,Same Day,C-9715,Antonio,Green,Consumer,United States,Lake Carolyn,New Mexico,19591,East,P-75387,Office Supplies,Storage,Storage - Account,963.35,3,0.3,167.69
110,CA-2022-107507,2025-06-18,2025-06-25,Same Day,C-8552,Amanda,Sanchez,Home Office,United States,Cindyview,California,64333,Central,P-53436,Technology,Copiers,Copiers - Spring,1903.13,5,0.2,330.53
111,CA-2018-746098,2025-06-05,2025-06-15,Second Class,C-8241,Robin,Meyer,Consumer,United States,Abigailborough,Pennsylvania,32334,South,P-29090,Office Supplies,Storage,Storage - College,1391.43,6,0.4,61.69
112,CA-2021-919667,2022-11-02,2022-11-07,Standard Class,C-8241,David,Hernandez,Corporate,United States,Port James,North Carolina,99369,Central,P-27752,Technology,Phones,Phones - Medical,874.26,8,0.1,-60.35
113,CA-2019-593642,2021-06-08,2021-06-16,Second Class,C-7964,Matthew,Chavez,Consumer,United States,New Bryanbury,South Dakota,40054,South,P-60770,Office Supplies,Storage,Storage - Most,1566.71,6,0.3,-26.04
114,CA-2015-912652,2022-10-19,2022-10-26,Standard Class,C-7425,Hannah,Schultz,Corporate,United States,South Meganbury,Nebraska,54838,East,P-66291,Furniture,Furnishings,Furnishings - Road,996.27,2,0.4,53.83
115,CA-2017-734970,2022-10-11,2022-10-13,Same Day,C-7646,Amanda,Parker,Home Office,United States,Allenmouth,Wyoming,51384,Central,P-47820,Furniture,Tables,Tables - Bank,1443.2,2,0.2,-122.96
116,CA-2017-762368,2022-10-19,2022-10-28,First Class,C-6143,Margaret,Romero,Corporate,United States,Rosarioberg,Oregon,68290,West,P-14359,Furniture,Tables,Tables - White,351.27,6,0.4,80.87
117,CA-2019-385083,2021-04-09,2021-04-15,First Class,C-8754,Joseph,Wright,Consumer,United States,Kendraside,Illinois,92416,West,P-56798,Office Supplies,Binders,Binders - Class,1251.79,1,0.2,6.63
118,CA-2018-556217,2023-12-20,2023-12-22,Same Day,C-9774,George,Reyes,Home Office,United States,Wagnerburgh,Mississippi,97476,Central,P-70065,Furniture,Chairs,Chairs - Traditional,349.62,10,0.0,-33.65
119,CA-2016-808203,2022-05-17,2022-05-21,Second Class,C-2626,Bailey,Jordan,Corporate,United States,South Christopher,Maine,67830,East,P-15821,Technology,Machines,Machines - Once,1488.21,4,0.2,486.77
120,CA-2017-760161,2020-12-04,2020-12-13,Second Class,C-7854,Justin,Ramos,Home Office,United States,Lake Susan,Vermont,23767,East,P-32597,Office Supplies,Binders,Binders - International,688.71,5,0.4,-73.3
121,CA-2019-890145,2023-04-18,2023-04-21,Same Day,C-1301,Melissa,Ford,Corporate,United States,Collierton,Nebraska,69336,West,P-26192,Technology,Phones,Phones - Congress,1713.91,8,0.4,373.43
122,CA-2015-261870,2024-04-06,2024-04-14,Second Class,C-8470,Ann,Wilson,Home Office,United States,Vasquezton,South Dakota,20867,East,P-36964,Technology,Copiers,Copiers - Writer,1216.83,9,0.3,214.26
123,CA-2022-689788,2021-11-16,2021-11-22,Standard Class,C-2590,Krista,Graham,Consumer,United States,South Anthony,Arkansas,92687,West,P-17930,Office Supplies,Binders,Binders - Test,869.18,2,0.1,-41.63
124,CA-2022-308447,2023-08-06,2023-08-11,Standard Class,C-9281,Elijah,Moore,Consumer,United States,Port Russellview,Connecticut,80037,West,P-93628,Furniture,Furnishings,Furnishings - Heavy,948.8,5,0.4,275.93
125,CA-2017-477807,2025-02-07,2025-02-09,Same Day,C-9700,Ryan,Burke,Consumer,United States,Port Danaside,Connecticut,53067,East,P-95152,Office Supplies,Art,Art - Wind,71.7,8,0.3,-7.71
126,CA-2015-259417,2022-09-14,2022-09-18,Standard Class,C-5185,Joshua,Reynolds,Consumer,United States,Lake James,Arkansas,80960,East,P-76670,Technology,Phones,Phones - Discover,172.51,1,0.0,3.73
127,CA-2021-636672,2022-06-12,2022-06-18,Same Day,C-7625,Jose,Garcia,Corporate,United States,Lake Thomasshire,New Jersey,84260,South,P-24507,Technology,Copiers,Copiers - Indeed,295.89,4,0.4,55.26
128,CA-2015-328001,2025-05-27,2025-06-02,Standard Class,C-7988,Heather,James,Home Office,United States,Lake Craig,New Mexico,99069,Central,P-46977,Furniture,Bookcases,Bookcases - Provide,1444.25,5,0.3,205.18
